fecha,producto,categoria,precio,cantidad
2023-01-05,Leche,Lácteos,1.2,30
2023-01-06,Pan,Panadería,0.8,50
2023-01-07,Queso,Lácteos,2.5,20
2023-01-08,Manzana,Frutas,1.0,40
2023-01-09,Pollo,Carnes,5.0,15
2023-02-01,Leche,Lácteos,1.2,35
2023-02-02,Pan,Panadería,0.8,45
2023-02-03,Queso,Lácteos,2.5,22
2023-02-04,Manzana,Frutas,1.0,50
2023-02-05,Pollo,Carnes,5.0,12
2023-03-01,Leche,Lácteos,1.2,28
2023-03-02,Pan,Panadería,0.8,55
2023-03-03,Queso,Lácteos,2.5,18
2023-03-04,Manzana,Frutas,1.0,60
2023-03-05,Pollo,Carnes,5.0,20
2023-04-01,Leche,Lácteos,1.2,40
2023-04-02,Pan,Panadería,0.8,48
2023-04-03,Queso,Lácteos,2.5,25
2023-04-04,Manzana,Frutas,1.0,55
2023-04-05,Pollo,Carnes,5.0,18
